Vertex_1,Vertex_2,Method,Distance,Time,Price
1,2,1,1.7169399999999999,0.70645999999999998,2.0209600000000001
1,2,2,1.5004,1.0061,0.98858599999999996
1,2,3,1.5862799999999999,0.976993,1.21858
1,3,1,0.61049900000000001,0.38714999999999999,0.44669700000000001
1,3,2,0.59201800000000004,0.42507499999999998,0.33388600000000002
1,4,1,1.10538,0.67537100000000005,0.86002100000000004
1,4,2,1.1712499999999999,0.68632400000000005,0.96984999999999999
1,4,3,1.17421,0.460532,1.4273499999999999
1,5,1,0.83745099999999995,0.21663199999999999,1.2416400000000001
1,6,1,1.1131,0.45030999999999999,1.32558
1,6,2,1.2637400000000001,0.84864200000000001,0.83018800000000004
1,7,1,1.20004,0.48244900000000002,1.43519
1,7,2,1.23421,0.52888000000000002,1.41066
1,8,1,0.96806999999999999,0.43633300000000003,1.0634699999999999
1,8,2,0.84848699999999999,0.33849099999999999,1.01999
1,9,1,1.3082800000000001,0.45302300000000001,1.71052
1,10,1,1.7313400000000001,1.1980500000000001,1.06657
1,10,2,1.823,1.0417099999999999,1.5625800000000001
1,10,3,1.47909,0.71959700000000004,1.51898
1,11,1,1.5134000000000001,0.95185399999999998,1.1230800000000001
1,11,2,1.5421899999999999,0.99551400000000001,1.0933600000000001
1,11,3,1.44628,0.66401100000000002,1.56454
1,12,1,1.31307,0.72611700000000001,1.1738999999999999
1,12,2,1.35347,0.42490499999999998,1.85714
1,12,3,1.34101,0.87045899999999998,0.94109299999999996
1,13,1,0.93709900000000002,0.24039099999999999,1.39341
1,14,1,1.3318700000000001,0.82793700000000003,1.00787
1,15,1,0.81891999999999998,0.406528,0.82478499999999999
1,15,2,0.79080300000000003,0.22132499999999999,1.13896
1,15,3,0.74138999999999999,0.40265600000000001,0.67746700000000004
1,16,1,1.2492799999999999,0.81456899999999999,0.86941999999999997
1,16,2,1.3503700000000001,0.36763899999999999,1.9654700000000001
1,16,3,1.3564499999999999,0.48191800000000001,1.7490600000000001
1,17,1,0.92179100000000003,0.64083100000000004,0.56191899999999995
1,17,2,0.72445300000000001,0.35614200000000001,0.736622
1,17,3,0.80043399999999998,0.47263500000000003,0.65559599999999996
1,18,1,1.14866,0.80189999999999995,0.693523
1,18,2,1.2105999999999999,0.80953799999999998,0.80211699999999997
1,19,1,0.940303,0.64597400000000005,0.58865800000000001
